"","variable","year","mean","sd","lower","upper"
"196","dep_t",2007,0.632281881857085,0.118823628860891,0.464276821234975,0.837167281706359
"197","dep_t",2008,0.865481608682731,0.158831604945525,0.636837990414266,1.14146447168356
"198","dep_t",2009,0.927579111282099,0.17484183612361,0.676935835820834,1.23293000689901
"199","dep_t",2010,0.873588214993768,0.161723943546711,0.643197816711735,1.14608977446294
"200","dep_t",2011,0.883045548563588,0.169574200342524,0.646833018222338,1.17248304428985
"201","dep_t",2012,0.774420084720477,0.144757394704824,0.562024554805021,1.02174171787732
"202","dep_t",2013,0.692926454486669,0.126193673460387,0.509418916709054,0.911784108564509
"203","dep_t",2014,0.697510471964844,0.129961185355681,0.511415428397565,0.932651875672991
"204","dep_t",2015,0.643634565632125,0.123611965564885,0.47167116436712,0.855082515698575
"205","dep_t",2016,0.558768934457832,0.145439293206495,0.371033693588006,0.81814013612901
"206","dep_t",2017,0.464112158357598,0.113210205030048,0.312705471335777,0.665634776989484
"207","dep_t",2018,0.369197494886704,0.0621676923622705,0.277959622977247,0.475023649598517
"208","growth_t",1951,0.0907181466146899,0.0186270776650311,0.0619372434418778,0.119803553382215
"209","growth_t",1952,0.087385595383552,0.029345392418623,0.0363498554762793,0.125445914377868
"210","growth_t",1953,0.0962951175193226,0.0249454893629189,0.0554895223152565,0.130086592047301
"211","growth_t",1954,0.0959319636969551,0.0254001569371271,0.0552137475719796,0.130913246246179
"212","growth_t",1955,0.100405012670194,0.022246755907093,0.0641252390638085,0.133471816130435
"213","growth_t",1956,0.0860306046386671,0.0338835980512272,0.0316723798271045,0.126365829269837
"214","growth_t",1957,0.016618908452164,0.0824825352969233,-0.118444732931075,0.0990011717694208
"215","growth_t",1958,-0.0313907931742219,0.107467930738127,-0.219073847728986,0.0881916969508506
"216","growth_t",1959,-0.0380214938994972,0.10099039305467,-0.223524731716478,0.0781950778371058
"217","growth_t",1960,-0.0649182315122196,0.116986624346062,-0.270675872172398,0.0690232158257412
"218","growth_t",1961,-0.0492061380970454,0.101070546735197,-0.229469898360964,0.0674152834894433
"219","growth_t",1962,-0.24450750038839,0.181685124501015,-0.572752664434589,-0.0127213682376307
"220","growth_t",1963,-0.274310902832522,0.197963137926987,-0.639510128443983,-0.0289509027217559
"221","growth_t",1964,-0.213232955853228,0.194740395159903,-0.564311610285507,0.0144011149696403
"222","growth_t",1965,0.00120284136377344,0.0894444655676679,-0.161442069535283,0.0965930941710421
"223","growth_t",1966,0.0786205881993446,0.039494581030363,0.015352739012484,0.123609063115125
"224","growth_t",1967,0.0922884186673247,0.0294360408101003,0.0463256546862921,0.128853036561356
"225","growth_t",1968,0.106238836029618,0.0174971879470615,0.080792854688943,0.135170080592494
"226","growth_t",1969,0.099066281541502,0.0165330865473287,0.074220457363551,0.126877152061048
"227","growth_t",1970,0.080598008674215,0.0159431386054634,0.0581733744946022,0.107850596398469
"228","growth_t",1971,0.0818083443295067,0.0160372911425265,0.0582976950224051,0.109599645015298
"229","growth_t",1972,0.103620429982628,0.0168101839633091,0.0785164914187128,0.132497724006749
"230","growth_t",1973,0.106314942627797,0.016836149432346,0.0810368808225188,0.134879061113417
"231","growth_t",1974,0.103528984882533,0.016903556861661,0.0784743698497826,0.131717217494858
"232","growth_t",1975,0.0966779008320887,0.0169661374498068,0.0711534051282505,0.125629700222132
"233","growth_t",1976,0.0956864757032427,0.0169721076230813,0.0708591069862563,0.124108148190025
"234","growth_t",1977,0.0952019268821627,0.0168989495191134,0.0705092348942414,0.124146156999302
"235","growth_t",1978,0.0992031406818823,0.0172688914406787,0.0733983226262656,0.12895008843647
"236","growth_t",1979,0.104300062451135,0.0170502887865931,0.0793612433467884,0.133581838135682
"237","growth_t",1980,0.106186280889018,0.0167437762433221,0.0811428633995389,0.134305458680835
"238","growth_t",1981,0.106059488180777,0.0165795924753909,0.0809118753427917,0.134606719651879
"239","growth_t",1982,0.106727963440482,0.0167369756361551,0.0817026472702554,0.135276235299227
"240","growth_t",1983,0.095687904833263,0.0259238176173452,0.0572557600882208,0.129863900334222
"241","growth_t",1984,0.0737839249832853,0.0420480804702137,-0.00170409254198818,0.12051255809402
"242","growth_t",1985,0.0624162233562235,0.0520245355241981,-0.0260853970477612,0.116394381702551
"243","growth_t",1986,0.0870391458396803,0.0320140662169991,0.0331543473241829,0.125567249959001
"244","growth_t",1987,0.0821200051878086,0.0350012645941154,0.0227705396864756,0.124639827719805
"245","growth_t",1988,0.0734088770389691,0.0402750963617025,0.00287708333465699,0.119052962202433
"246","growth_t",1989,0.0330209422531315,0.0708006383824874,-0.0960009599306061,0.106396757128441
"247","growth_t",1990,0.0671938068046802,0.0481266847272459,-0.0151055166638463,0.118332985653752
"248","growth_t",1991,0.0974770173238586,0.025184262815744,0.0581764218928934,0.131508472889716
"249","growth_t",1992,0.0945669312585851,0.0265631837211406,0.0521862076707518,0.130092689726234
"250","growth_t",1993,0.0854391568149448,0.0341429420725389,0.0305712346381535,0.123734163859299
"251","growth_t",1994,0.0827335192216912,0.036048082426042,0.0206694124924136,0.123876001235636
"252","growth_t",1995,0.0910429613768986,0.0301513262857671,0.0428047067307865,0.129762401317639
"253","growth_t",1996,0.0970234082047861,0.0244440690800963,0.0590224895288998,0.130707344862287
"254","growth_t",1997,0.0712095773389306,0.0471313201301649,-0.00555406125773517,0.119167549730483
"255","growth_t",1998,0.0699772088935331,0.0416232686462094,-0.00651264043405871,0.118613540710242
"256","growth_t",1999,0.0716913159314067,0.0440309104211415,0.000691326206705006,0.119292758266225
"257","growth_t",2000,0.0779712625943389,0.0384299499642625,0.0111001924558177,0.123553682189971
"258","growth_t",2001,0.0808671501039489,0.0349210719623782,0.022126619846373,0.124662928630036
"259","growth_t",2002,0.0513911035672443,0.0573822360065653,-0.0479223551372485,0.112263283342862
"260","growth_t",2003,0.0546166501062874,0.0548126023758973,-0.0474547030019507,0.115997640395762
"261","growth_t",2004,0.0521832328644973,0.0547549717304959,-0.0505212956356013,0.112983165994309
"262","growth_t",2005,0.0546533916138836,0.0609998900448798,-0.0466242774072546,0.114032204121818
"263","growth_t",2006,0.0853457969954081,0.0336803779733684,0.0287547258563103,0.125814716352082
"264","growth_t",2007,0.096660082595296,0.0259409084027613,0.0572139055903549,0.130965761019956
"265","growth_t",2008,0.0402473535768544,0.0613568010302247,-0.0736323490362058,0.106992797253122
"266","growth_t",2009,0.0164410183916619,0.080417224447005,-0.121649509140621,0.100244372752503
"267","growth_t",2010,0.0379028882344086,0.0662083420314378,-0.0713774219415277,0.106780333628295
"268","growth_t",2011,0.0332466996370943,0.0699950736585239,-0.086794214379486,0.105898923938609
"269","growth_t",2012,0.0681895670818093,0.0444800664460619,-0.0104833121305551,0.117962804645297
"270","growth_t",2013,0.0873437432359115,0.0311420066402098,0.0359098422666421,0.125962118600482
"271","growth_t",2014,0.0860049900041774,0.0318682808886339,0.027088112518339,0.12517249558041
"272","growth_t",2015,0.0946453172201703,0.0260912885116366,0.0541137682297432,0.129736747598931
"273","growth_t",2016,0.0995828563902877,0.0283142105690595,0.0634174627253584,0.132525470520475
"274","growth_t",2017,0.104433190936109,0.0183280452194656,0.0783014868801728,0.134276681710985
"275","growth_t",2018,0.101450283132286,0.0167929720200257,0.0766281362353152,0.130723268563529
"276","index_hat_t",1951,101301.623482767,45104.837368544,55752.2454946129,178508.757444481
"277","index_hat_t",1952,100957.497590084,50700.1269284377,49856.181913804,192833.602460443
"278","index_hat_t",1953,92649.4881960624,47976.3689070681,44811.0644113867,174054.232502095
"279","index_hat_t",1954,92970.6917007881,48598.539451467,45095.1717930681,177914.503520171
"280","index_hat_t",1955,88111.1191369258,47370.7570555516,42493.4963371018,166658.551782091
"281","index_hat_t",1956,101987.137114331,54230.1228598207,49379.3634708165,187650.222035644
"282","index_hat_t",1957,135023.075521261,70233.1357890311,65905.879751995,256570.406815267
"283","index_hat_t",1958,150869.083826114,78716.9071471946,70982.5991024099,286480.605930974
"284","index_hat_t",1959,153032.80278523,77115.2236898223,75990.7397044058,284711.451563088
"285","index_hat_t",1960,161043.0656183,84079.8592518651,78171.272274478,304731.58626364
"286","index_hat_t",1961,157001.435690204,78538.7659513499,76703.3056281947,293369.255567784
"287","index_hat_t",1962,199930.858419697,98508.6780992226,97674.4387301862,377302.376289971
"288","index_hat_t",1963,205844.953061657,105308.312004027,100749.437445555,383211.617017126
"289","index_hat_t",1964,192630.447145199,97437.6668012515,93897.7659771933,365037.063550035
"290","index_hat_t",1965,141175.429505079,75165.5040445645,67862.6913844895,270443.442719389
"291","index_hat_t",1966,107356.86930953,57869.1524584904,52519.9729281138,202895.75793374
"292","index_hat_t",1967,96263.1585444302,50125.4595469809,47454.0051183068,181511.858770781
"293","index_hat_t",1968,70399.3594597844,37760.362363024,33039.9193432802,139706.617121905
"294","index_hat_t",1969,52251.3486084785,28326.4773752949,24319.0767648449,103880.380638155
"295","index_hat_t",1970,35800.6786126458,19605.7219882312,17025.5661889159,69070.1495529769
"296","index_hat_t",1971,36482.5205724101,19337.7420628827,17510.3376328695,68375.1633558279
"297","index_hat_t",1972,58576.4504215471,31025.9671404855,28142.8436889897,110769.342867664
"298","index_hat_t",1973,69182.9029146944,37036.1462755546,32550.5272530241,131633.16655247
"299","index_hat_t",1974,59327.022639062,32437.947722526,27881.735358314,114338.18292355
"300","index_hat_t",1975,48953.5792996536,26306.2184587008,23256.4375369239,94109.863470023
"301","index_hat_t",1976,48103.5726097031,26310.713213184,22745.8091166397,91381.527251755
"302","index_hat_t",1977,47393.5326773984,25299.4861089269,22733.3608145816,88567.281540142
"303","index_hat_t",1978,52114.595336565,27597.2053185749,24306.0144480472,100628.985824217
"304","index_hat_t",1979,60287.9518654356,31973.1846273898,28385.373033674,113510.557456174
"305","index_hat_t",1980,64862.6682768651,34179.2708522988,31107.5457294108,122587.578671253
"306","index_hat_t",1981,64704.949741578,35141.0705944271,31781.7032797281,125768.315090464
"307","index_hat_t",1982,68627.3765933451,35607.591568732,33448.8651301786,133280.631691618
"308","index_hat_t",1983,93410.4180931007,48250.4781950274,46304.8786640325,177636.760416343
"309","index_hat_t",1984,108959.571089615,57031.9624647336,53132.2244965372,204986.641684791
"310","index_hat_t",1985,115357.470363155,62406.6590197661,55076.6051790522,216165.457100039
"311","index_hat_t",1986,100510.443037966,51887.6890609067,48760.0555410327,189625.944177718
"312","index_hat_t",1987,104471.39777328,54191.2620543095,51369.2559705523,198616.678239948
"313","index_hat_t",1988,110082.911954705,56314.3269382116,53326.2760687042,203473.133982625
"314","index_hat_t",1989,128778.923857086,67750.5611749096,63058.4970875066,243984.107900975
"315","index_hat_t",1990,113072.708461439,58759.1675463965,55672.4284332472,212864.792577215
"316","index_hat_t",1991,91588.5624705261,48441.4794521957,44718.9091238972,173344.694658115
"317","index_hat_t",1992,94468.1126680994,48180.8953129801,46424.383778547,176577.860692865
"318","index_hat_t",1993,101301.414213932,50895.9951795404,50238.3337844812,191063.361857398
"319","index_hat_t",1994,103912.659298858,54229.8186486689,50958.9662449462,198909.125382062
"320","index_hat_t",1995,97349.0392388623,51322.2376915369,46907.2758695162,188687.314543744
"321","index_hat_t",1996,91878.7440771681,49011.2351084835,44257.0954624311,174638.886632005
"322","index_hat_t",1997,110438.067817048,58320.1033832527,53434.2223232418,213004.496192734
"323","index_hat_t",1998,111898.775263391,57191.3528417954,55367.3070662048,204796.304006487
