"","variable","year","mean","sd","lower","upper"
"87","ck",1968,0.0636065346693116,0.00976307838220769,0.0479786631442529,0.079722078218037
"88","ck",1969,0.0617892051073313,0.00948413328557319,0.0466078441972742,0.0774443045546645
"89","ck",1970,0.0639972605251374,0.00982305157798411,0.0482733892178533,0.080211799555662
"90","ck",1971,0.0609259735653907,0.0093516343646718,0.0459567051974593,0.0763623620645625
"91","ck",1972,0.0676228330012882,0.0103795470457699,0.0510081730170757,0.0847559580140902
"92","ck",1973,0.0817616569934952,0.0125497398975864,0.0616731444245696,0.102477037115128
"93","ck",1974,0.0913389837851315,0.0140197805568502,0.0688973602751471,0.114480904321101
"94","ck",1975,0.091847836062486,0.0140978851839079,0.0692811895803011,0.115118680946845
"95","ck",1976,0.0828793146741131,0.0127212911320166,0.0625161980769615,0.103877867918102
"96","ck",1977,0.0879860107432778,0.0135051268535596,0.0663681993179715,0.110278411912179
"97","ck",1978,0.0849510703747706,0.01303928854218,0.0640789316765171,0.106474529894347
"98","ck",1979,0.0788357563987068,0.0121006382920048,0.059466125919934,0.0988098215170984
"99","ck",1980,0.0806621726084971,0.0123809781141225,0.0608437989616475,0.101098984048788
"100","ck",1981,0.0918114894712464,0.0140923062819752,0.0692537732013615,0.115073125473578
"101","ck",1982,0.0968545790057418,0.014866378925136,0.0730577957792273,0.121393947389437
"102","ck",1983,0.123996396013918,0.0190324239433723,0.0935309767523535,0.155412497051905
"103","ck",1984,0.17461811096288,0.0268024396101265,0.131715138520444,0.218859882445145
"104","ck",1985,0.195517400925654,0.0300103082214233,0.147479556410698,0.245054279573929
"105","ck",1986,0.160043127875798,0.0245652999351177,0.120721170565675,0.200592137664898
"106","ck",1987,0.141724445891036,0.0217535333610419,0.10690331558013,0.177632179138103
"107","ck",1988,0.157626079558364,0.0241943029565938,0.118897981366193,0.197562698692612
"108","ck",1989,0.126504310809451,0.0194173681767279,0.095422706899184,0.158555824707359
"109","ck",1990,0.21071027606381,0.0323422892292877,0.15893960280744,0.264096467399723
"110","ck",1991,0.189629253144838,0.0291065261083275,0.143038103022488,0.237674292904602
"111","ck",1992,0.178207336847791,0.0273533561759796,0.134422505940727,0.223358485430306
"112","ck",1993,0.121406701388096,0.0186349271806681,0.0915775597529089,0.152166669581599
"113","ck",1994,0.125159486933586,0.0192109488052184,0.0944083008784198,0.156870272196463
"114","ck",1995,0.0891945349019947,0.0136906253428215,0.0672797939177123,0.111793131398322
"115","ck",1996,0.082697581717915,0.0126933966223532,0.0623791161822636,0.103650090551765
"116","ck",1997,0.0919477891883949,0.0141132271642228,0.0693565846223849,0.115243958498331
"117","ck",1998,0.0738471867510708,0.0113349340017431,0.0557032279104775,0.0925573328111409
"118","ck",1999,0.0841514453674993,0.0129165526996608,0.0634757713398465,0.105472309482463
"119","ck",2000,0.111974760961418,0.0171872021291351,0.0844630094180897,0.140345024268696
"120","ck",2001,0.100861790689908,0.0154814528632151,0.0760804515573152,0.126416438317173
"121","ck",2002,0.0920750022577336,0.0141327533209872,0.0694525419486734,0.115403402654767
"122","ck",2003,0.0862232010681569,0.0132345501098241,0.0650385049394022,0.108068971458708
"123","ck",2004,0.0699853614318626,0.0107421756713948,0.0527902376481479,0.0877170637764744
"124","ck",2005,0.148348612144455,0.0227702882382747,0.111899950641867,0.185934664141096
"125","ck",2006,0.149484443120692,0.0229446289236712,0.112756712483729,0.187358272680704
"126","ck",2007,0.122515272420904,0.0188050836896152,0.0924137593105659,0.153556111516256
"127","ck",2008,0.123451197145324,0.018948740414382,0.0931197310682599,0.154729164952893
"128","ck",2009,0.141470019752359,0.0217144810475131,0.106711400927553,0.177313290825231
"129","ck",2010,0.137917140458687,0.0211691433835926,0.10403144988621,0.172860243313338
"130","ck",2011,0.135718171688691,0.0208316198166649,0.102372758960366,0.170104137180657
"131","ck",2012,0.139643603542569,0.0214341412253954,0.10533372788584,0.175024128293542
"132","ck",2013,0.145858870644542,0.0223881334558854,0.110021928684507,0.182814114222276
"133","ck",2014,0.144205100743139,0.022134293417948,0.108774483442756,0.180741340188607
"134","ck",2015,0.166131181908432,0.0254997660088433,0.125313414038054,0.208222679437196
"135","ck",2016,0.181331962430182,0.0278329604278781,0.136779423497214,0.227274775578425
"136","ck",2017,0.217633211297218,0.0334049026804072,0.16416160050406,0.272773418392974
"137","ck",2018,0.235444131402362,0.0361387319944834,0.177596448675819,0.295096966958222
"138","crashed",1951,0,0,0,0
"139","delta",1951,100,0,100,100
"140","dep_t",1951,0.819617401530508,0.0673085720609872,0.712628241580246,0.932879121464113
"141","dep_t",1952,0.846589736174767,0.102178614849373,0.687466844965056,1.00726825837458
"142","dep_t",1953,0.73810277794029,0.0892121705568409,0.600697105422181,0.890287267000806
"143","dep_t",1954,0.640096423227551,0.0770641135541063,0.525821893152253,0.766499766455616
"144","dep_t",1955,0.584469550692352,0.0709775265654421,0.479670887369609,0.705874055605706
"145","dep_t",1956,0.648308354225543,0.0752006119671791,0.532852488243733,0.770162592167571
"146","dep_t",1957,0.733113899308871,0.0882905013690185,0.594703205738322,0.872579077851925
"147","dep_t",1958,0.798452645668973,0.0998706219811058,0.653936179802199,0.961964361654503
"148","dep_t",1959,0.78447395638444,0.0926405269467049,0.647886339990738,0.946557995210188
"149","dep_t",1960,0.73759741850957,0.0896112573623497,0.610257684977404,0.893900948351516
"150","dep_t",1961,0.656005490375609,0.0755561303210524,0.541789799499247,0.784769016824107
"151","dep_t",1962,0.694377812860299,0.0836378796750259,0.565800146975042,0.831266295808499
"152","dep_t",1963,0.719233849169304,0.0836752998605426,0.594457779282249,0.859397347962624
"153","dep_t",1964,0.776056850369329,0.0995922747030005,0.633757149252625,0.942910943718658
"154","dep_t",1965,0.681914273671044,0.0853194531312001,0.55235462941493,0.829857084824573
"155","dep_t",1966,0.595412885456434,0.073128433583477,0.486717485712447,0.719986088191906
"156","dep_t",1967,0.570787280157336,0.0687048488062273,0.472250732242722,0.684525260210355
